,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
238,10.222754,-61.408085,333.85,0.5,0.41,4/23/2021,1736,N,VIIRS,n,1,299.53,6.08,D,0
241,10.50382,-61.431137,340.12,0.5,0.41,4/23/2021,1736,N,VIIRS,n,1,299.71,7.3,D,0
237,10.223394,-61.403511,349.29,0.5,0.41,4/23/2021,1736,N,VIIRS,n,1,299.99,6.08,D,0
242,10.503928,-61.433632,342.18,0.5,0.41,4/23/2021,1736,N,VIIRS,n,1,300.06,5.7,D,0
236,10.226693,-61.352509,331.12,0.5,0.41,4/23/2021,1736,N,VIIRS,n,1,300.11,2.69,D,0
239,10.294806,-61.41687,342.29,0.5,0.41,4/23/2021,1736,N,VIIRS,n,1,300.54,8.27,D,0
243,10.607763,-61.40588,334.11,0.51,0.41,4/23/2021,1736,N,VIIRS,n,1,302.66,4.19,D,0
245,10.603659,-61.324459,328.43,0.41,0.45,4/25/2021,1700,N,VIIRS,l,1,299.4,2.61,D,0
246,10.233149,-61.318691,331.47,0.42,0.45,4/28/2021,1742,N,VIIRS,n,1,296.58,3.65,D,0
247,10.124276,-61.438988,307.55,0.46,0.39,5/6/2021,548,N,VIIRS,n,1,284.75,0.9,N,0
249,10.408937,-61.480335,299.83,0.56,0.43,5/11/2021,554,N,VIIRS,n,1,282.81,0.58,N,2
250,10.396307,-61.477364,301.24,0.56,0.43,5/11/2021,554,N,VIIRS,n,1,284.44,0.94,N,2
248,10.416782,-61.478951,302.55,0.56,0.43,5/11/2021,554,N,VIIRS,n,1,285.27,0.95,N,2
251,10.374859,-61.474606,337.17,0.43,0.46,5/11/2021,1700,N,VIIRS,n,1,298.27,2.2,D,3
255,10.372886,-61.476921,325.73,0.44,0.62,5/12/2021,1642,N,VIIRS,n,1,291.84,3.22,D,0
254,10.374304,-61.473949,311.86,0.38,0.36,5/12/2021,536,N,VIIRS,n,1,294.23,0.76,N,0
253,10.409039,-61.479115,307.64,0.38,0.36,5/12/2021,536,N,VIIRS,n,1,294.85,0.94,N,2
252,10.415657,-61.478046,307.13,0.38,0.36,5/12/2021,536,N,VIIRS,n,1,295.19,0.65,N,2
256,10.603401,-61.428078,329.97,0.43,0.62,5/13/2021,1800,N,VIIRS,n,1,288.37,3.06,D,0
257,10.609167,-61.428741,331.4,0.43,0.62,5/13/2021,1800,N,VIIRS,n,1,288.67,3.06,D,0
258,10.603667,-61.429279,339.02,0.43,0.62,5/13/2021,1800,N,VIIRS,n,1,288.69,6.18,D,0
261,10.37322,-61.473595,305.88,0.48,0.65,5/15/2021,618,N,VIIRS,n,1,288.75,1.18,N,0
259,10.419308,-61.476696,301.93,0.48,0.65,5/15/2021,618,N,VIIRS,n,1,289.03,0.56,N,2
260,10.417383,-61.478504,308.89,0.48,0.65,5/15/2021,618,N,VIIRS,n,1,289.12,1.56,N,2
264,10.527375,-61.441704,330.14,0.39,0.36,5/15/2021,1724,N,VIIRS,n,1,302.05,2.58,D,0
262,10.144141,-61.384933,338.03,0.39,0.36,5/15/2021,1724,N,VIIRS,n,1,302.5,4.86,D,0
266,10.590972,-61.335262,335,0.39,0.36,5/15/2021,1724,N,VIIRS,n,1,303.11,2.68,D,0
265,10.577404,-61.380409,336.43,0.39,0.36,5/15/2021,1724,N,VIIRS,n,1,304.04,3.21,D,0
263,10.416868,-61.479218,333.95,0.39,0.36,5/15/2021,1724,N,VIIRS,l,1,304.8,1.5,D,2
268,10.417274,-61.478561,309.07,0.47,0.47,5/16/2021,600,N,VIIRS,n,1,294.38,1.19,N,2
267,10.417669,-61.479633,309.37,0.47,0.47,5/16/2021,600,N,VIIRS,n,1,294.48,1.1,N,2
269,10.657114,-61.139046,331.14,0.49,0.4,5/16/2021,1706,N,VIIRS,n,1,298.1,3.35,D,0
270,10.408525,-61.481483,307.18,0.4,0.37,5/17/2021,542,N,VIIRS,n,1,293.11,1.48,N,2
271,10.352509,-61.460079,307.29,0.4,0.37,5/17/2021,542,N,VIIRS,n,1,293.49,0.64,N,2
272,10.170645,-61.372097,331.57,0.53,0.5,5/19/2021,1748,N,VIIRS,n,1,293.51,5.52,D,0
273,10.375006,-61.478451,302.44,0.63,0.72,5/20/2021,442,N,VIIRS,n,1,289.55,1.28,N,0
276,10.65416,-61.2421,336.37,0.44,0.38,5/20/2021,1730,N,VIIRS,n,1,294.33,3.88,D,0
274,10.192039,-61.355904,332.54,0.43,0.38,5/20/2021,1730,N,VIIRS,n,1,297.62,1.77,D,0
275,10.488321,-61.446621,343.44,0.43,0.38,5/20/2021,1730,N,VIIRS,n,1,299.26,5.79,D,0
278,10.136289,-61.079876,336.09,0.51,0.49,5/22/2021,1654,N,VIIRS,n,1,292.35,9.19,D,0
277,10.137099,-61.075321,341.44,0.51,0.49,5/22/2021,1654,N,VIIRS,n,1,293.83,9.19,D,0
279,10.13774,-61.079136,301.57,0.39,0.37,5/23/2021,530,N,VIIRS,n,1,289.9,0.47,N,0
280,11.221188,-60.764362,305.23,0.44,0.46,5/24/2021,506,N,VIIRS,n,1,291.73,0.86,N,0
281,10.370267,-61.443356,342.03,0.34,0.56,5/24/2021,1754,N,VIIRS,n,1,292.23,4.3,D,0
282,10.479803,-61.319008,331.73,0.51,0.41,5/25/2021,1736,N,VIIRS,n,1,297.14,1.52,D,0
283,10.48085,-61.451832,332.7,0.5,0.41,5/25/2021,1736,N,VIIRS,n,1,299.19,3.99,D,0
284,10.430163,-61.09087,336.85,0.41,0.61,5/28/2021,1642,N,VIIRS,n,1,291.27,4.08,D,0
286,10.373489,-61.413906,313.33,0.56,0.43,5/29/2021,518,N,VIIRS,n,1,292.11,1.06,N,0
285,10.409589,-61.480976,305.61,0.56,0.43,5/29/2021,518,N,VIIRS,n,1,293.49,2.28,N,2
287,10.375764,-61.414848,298.18,0.4,0.37,6/2/2021,542,N,VIIRS,n,1,282.71,0.3,N,0
288,10.234255,-61.436527,327.48,0.34,0.56,6/2/2021,1648,N,VIIRS,n,1,296.07,1.73,D,0
289,10.415928,-61.481094,305.21,0.56,0.43,6/12/2021,554,N,VIIRS,n,1,291.4,1.38,N,2
290,10.418571,-61.478527,305.12,0.38,0.36,6/13/2021,536,N,VIIRS,n,1,294.31,1.16,N,2
291,10.417167,-61.482487,305.91,0.38,0.59,6/15/2021,454,N,VIIRS,n,1,289.29,0.89,N,2
292,10.419531,-61.479183,307.71,0.46,0.39,6/19/2021,524,N,VIIRS,n,1,289.48,0.79,N,2
293,10.415919,-61.479729,310.04,0.46,0.39,6/19/2021,524,N,VIIRS,n,1,290.12,1.85,N,2
294,10.418556,-61.481838,299,0.62,0.72,6/21/2021,442,N,VIIRS,n,1,282.21,1.04,N,2
295,10.649727,-61.237953,330.81,0.44,0.38,6/21/2021,1730,N,VIIRS,n,1,299.63,2.94,D,0
296,10.417599,-61.476845,308.36,0.6,0.53,6/22/2021,606,N,VIIRS,n,1,290.05,0.98,N,2
297,10.41813,-61.47942,321.24,0.4,0.37,6/24/2021,530,N,VIIRS,n,1,290.74,2.21,N,2
298,10.163485,-61.506783,327.49,0.34,0.56,6/25/2021,1754,N,VIIRS,n,1,293.95,1.07,D,0
299,10.416384,-61.482952,320.76,0.49,0.65,6/26/2021,448,N,VIIRS,n,1,288.91,2.72,N,2
300,10.418868,-61.479477,300.67,0.38,0.59,6/27/2021,612,N,VIIRS,n,1,279.43,1.87,N,2
301,10.402766,-61.46154,303.92,0.57,0.43,6/28/2021,554,N,VIIRS,n,1,289.15,0.97,N,2
302,10.225097,-61.618271,317.24,0.56,0.43,6/28/2021,554,N,VIIRS,n,1,291.17,2.01,N,0
310,10.217517,-61.623238,306.42,0.38,0.36,6/29/2021,536,N,VIIRS,n,1,293.64,0.61,N,0
306,10.405138,-61.460693,306.65,0.38,0.36,6/29/2021,536,N,VIIRS,n,1,293.65,1,N,2
308,10.223585,-61.618683,306.2,0.38,0.36,6/29/2021,536,N,VIIRS,n,1,293.98,1.11,N,0
309,10.218065,-61.626736,315.42,0.38,0.36,6/29/2021,536,N,VIIRS,n,1,294.34,1.44,N,3
304,10.417816,-61.476574,306.03,0.38,0.36,6/29/2021,536,N,VIIRS,n,1,294.49,0.44,N,2
303,10.418365,-61.480064,312.94,0.38,0.36,6/29/2021,536,N,VIIRS,n,1,294.61,1.08,N,2
307,10.224134,-61.622177,320.38,0.38,0.36,6/29/2021,536,N,VIIRS,n,1,294.8,1.11,N,0
305,10.408442,-61.481667,311.74,0.38,0.36,6/29/2021,536,N,VIIRS,n,1,295.32,1.19,N,2
311,10.418272,-61.481785,314.42,0.38,0.59,7/1/2021,454,N,VIIRS,n,1,275.27,1.35,N,2
312,10.416838,-61.481449,317.16,0.38,0.59,7/1/2021,454,N,VIIRS,n,1,275.3,1.34,N,2
314,10.403801,-61.459435,305.9,0.41,0.37,7/4/2021,542,N,VIIRS,n,1,292.67,0.26,N,0
315,10.217539,-61.624889,309.04,0.4,0.37,7/4/2021,542,N,VIIRS,n,1,293.91,1.01,N,0
313,10.417568,-61.479824,320.08,0.4,0.37,7/4/2021,542,N,VIIRS,n,1,294.64,2.37,N,2
316,10.414883,-61.481728,329.46,0.34,0.56,7/4/2021,1648,N,VIIRS,n,1,296.2,2.86,D,0
319,10.402779,-61.460426,303.96,0.46,0.39,7/5/2021,524,N,VIIRS,n,1,292.57,0.52,N,2
318,10.409472,-61.480846,309.72,0.46,0.39,7/5/2021,524,N,VIIRS,n,1,294.51,1.67,N,2
317,10.416678,-61.479755,323.56,0.46,0.39,7/5/2021,524,N,VIIRS,n,1,295.49,2.56,N,2
320,10.419633,-61.484627,297.44,0.62,0.72,7/7/2021,442,N,VIIRS,n,1,265.9,1.97,N,2
321,10.416156,-61.483902,302.99,0.62,0.72,7/7/2021,624,N,VIIRS,n,1,286.94,1.75,N,2
322,10.415,-61.478165,310.94,0.62,0.72,7/7/2021,624,N,VIIRS,n,1,287.08,1.54,N,2
323,10.418938,-61.478149,309.47,0.6,0.53,7/8/2021,606,N,VIIRS,n,1,289.86,1.25,N,2
324,10.416959,-61.479671,316.78,0.6,0.53,7/8/2021,606,N,VIIRS,n,1,290.23,2.19,N,2
327,10.402919,-61.4627,305.11,0.4,0.37,7/10/2021,530,N,VIIRS,n,1,292.1,0.58,N,2
328,10.218153,-61.62558,312.64,0.4,0.37,7/10/2021,530,N,VIIRS,n,1,292.47,0.94,N,0
325,10.419227,-61.478889,304.25,0.4,0.37,7/10/2021,530,N,VIIRS,n,1,292.67,0.4,N,2
326,10.415845,-61.47942,310.24,0.4,0.37,7/10/2021,530,N,VIIRS,n,1,293.64,1.45,N,2
329,10.41852,-61.482182,304.62,0.49,0.65,7/12/2021,448,N,VIIRS,n,1,286.94,0.88,N,2
330,10.414665,-61.478935,309.67,0.39,0.59,7/13/2021,612,N,VIIRS,n,1,286.27,1.04,N,2
332,10.414604,-61.478527,317.29,0.57,0.43,7/14/2021,554,N,VIIRS,n,1,292.69,4.75,N,2
331,10.418561,-61.477829,341.1,0.57,0.43,7/14/2021,554,N,VIIRS,n,1,294.22,9.18,N,2
333,10.418214,-61.478642,343.69,0.42,0.45,7/14/2021,1700,N,VIIRS,n,1,300.67,15.77,D,2
336,10.418343,-61.477493,314.21,0.38,0.36,7/15/2021,536,N,VIIRS,n,1,264.92,1.01,N,2
335,10.418894,-61.480991,310.62,0.38,0.36,7/15/2021,536,N,VIIRS,n,1,265.31,1.01,N,2
338,10.415035,-61.478035,303.19,0.38,0.36,7/15/2021,536,N,VIIRS,n,1,265.55,1.01,N,2
337,10.415586,-61.481525,299.82,0.38,0.36,7/15/2021,536,N,VIIRS,n,1,266.12,1.01,N,2
334,10.696826,-61.482452,300.36,0.38,0.36,7/15/2021,536,N,VIIRS,n,1,280.6,0.35,N,0
339,10.418416,-61.481258,325.44,0.56,0.43,7/16/2021,518,N,VIIRS,n,1,281.7,4.11,N,2
340,10.215784,-61.624725,305.46,0.56,0.43,7/16/2021,518,N,VIIRS,n,1,291.28,1.31,N,0
342,10.417277,-61.479282,305.02,0.38,0.59,7/17/2021,454,N,VIIRS,n,1,293.62,1.82,N,2
341,10.417718,-61.482841,332.27,0.38,0.59,7/17/2021,454,N,VIIRS,n,1,293.83,1.82,N,2
343,10.416685,-61.481819,338.59,0.38,0.59,7/17/2021,454,N,VIIRS,n,1,294.42,4.26,N,2
344,10.41966,-61.485855,307.78,0.79,0.78,7/18/2021,436,N,VIIRS,n,1,286.88,2.16,N,2
345,10.418471,-61.483738,310.97,0.79,0.78,7/18/2021,436,N,VIIRS,n,1,287.08,2.13,N,2
347,10.415658,-61.478928,317.68,0.49,0.65,7/18/2021,618,N,VIIRS,n,1,287.5,1.84,N,2
346,10.416654,-61.479488,313.13,0.49,0.65,7/18/2021,618,N,VIIRS,n,1,288.58,2.24,N,2
348,10.419059,-61.47707,302.32,0.48,0.48,7/19/2021,600,N,VIIRS,n,1,285.56,0.56,N,2
349,10.415854,-61.479851,315.04,0.48,0.48,7/19/2021,600,N,VIIRS,n,1,286.44,3,N,2
351,10.21794,-61.625416,300.9,0.4,0.37,7/20/2021,542,N,VIIRS,n,1,273.26,0.69,N,3
352,10.415276,-61.481224,328.79,0.34,0.56,7/20/2021,1648,N,VIIRS,n,1,290.22,2.67,D,0
350,10.418222,-61.479523,319.36,0.41,0.37,7/20/2021,542,N,VIIRS,n,1,291.88,3.1,N,2
353,10.508112,-61.422478,325.43,0.33,0.55,7/20/2021,1648,N,VIIRS,n,1,293.68,1.74,D,0
355,10.375245,-61.412369,305.57,0.45,0.39,7/21/2021,524,N,VIIRS,n,1,292.83,0.51,N,0
354,10.418086,-61.478401,321.94,0.46,0.39,7/21/2021,524,N,VIIRS,n,1,294.88,2.97,N,2
356,10.416727,-61.481873,299.87,0.4,0.37,7/26/2021,530,N,VIIRS,n,1,272.37,0.77,N,2
357,10.416164,-61.47821,309.16,0.4,0.37,7/26/2021,530,N,VIIRS,n,1,273.45,0.77,N,2
358,10.417664,-61.480507,305.88,0.46,0.47,7/27/2021,512,N,VIIRS,n,1,271.77,1.04,N,2
359,10.417134,-61.477654,367,0.34,0.56,7/27/2021,1754,N,VIIRS,h,1,290.63,9.16,D,2
361,10.419335,-61.485867,315.18,0.49,0.65,7/28/2021,448,N,VIIRS,n,1,285.7,3.44,N,2
360,10.418792,-61.4813,330.47,0.48,0.65,7/28/2021,448,N,VIIRS,n,1,286.11,3.44,N,2
362,10.417618,-61.482571,343.48,0.48,0.65,7/28/2021,448,N,VIIRS,n,1,286.39,6.24,N,2
364,10.409267,-61.480194,305.91,0.57,0.43,7/30/2021,554,N,VIIRS,n,1,293.98,1.51,N,2
363,10.417192,-61.478794,310.08,0.57,0.43,7/30/2021,554,N,VIIRS,n,1,294.1,0.96,N,2
365,10.419662,-61.48518,312.47,0.38,0.36,7/31/2021,536,N,VIIRS,n,1,291.45,1.13,N,2
366,10.40864,-61.479797,307.48,0.38,0.36,7/31/2021,536,N,VIIRS,n,1,291.96,1.14,N,2
367,10.351623,-61.460064,305.18,0.38,0.36,7/31/2021,536,N,VIIRS,n,1,292.03,0.62,N,2
368,10.1225,-61.438965,331.37,0.42,0.45,8/2/2021,1742,N,VIIRS,n,1,295.25,1.69,D,0
369,10.31827,-61.002094,329.76,0.62,0.54,8/5/2021,1648,N,VIIRS,n,1,290.56,5.38,D,0
370,10.319533,-60.998699,327.05,0.62,0.54,8/5/2021,1648,N,VIIRS,n,1,291.21,8.17,D,0
372,10.417143,-61.484768,308.99,0.59,0.53,8/7/2021,506,N,VIIRS,n,1,290.28,5.31,N,2
371,10.416406,-61.479305,339.15,0.59,0.53,8/7/2021,506,N,VIIRS,n,1,290.94,5.27,N,2
374,10.404687,-61.460583,307.09,0.4,0.37,8/11/2021,530,N,VIIRS,n,1,291.79,0.71,N,2
373,10.418132,-61.480896,312.03,0.4,0.37,8/11/2021,530,N,VIIRS,n,1,292.73,1.4,N,2
375,10.416842,-61.477985,308.23,0.39,0.59,8/14/2021,612,N,VIIRS,n,1,286.67,1.78,N,2
377,10.405421,-61.461777,307.22,0.38,0.36,8/16/2021,536,N,VIIRS,n,1,291.55,0.8,N,0
376,10.4181,-61.477657,309.03,0.38,0.36,8/16/2021,536,N,VIIRS,n,1,293.01,0.77,N,2
378,10.415432,-61.478355,306.93,0.5,0.66,8/19/2021,618,N,VIIRS,n,1,289.56,0.89,N,2
380,10.414993,-61.480541,316.97,0.48,0.48,8/20/2021,600,N,VIIRS,n,1,291.77,2.43,N,0
379,10.419396,-61.479736,333.88,0.48,0.48,8/20/2021,600,N,VIIRS,n,1,292.35,2.43,N,2
382,10.40398,-61.4622,307.95,0.41,0.37,8/21/2021,542,N,VIIRS,n,1,292.42,0.53,N,2
